action,status,detail
provider.enclave_info,ok,
provider.m_update,ok,
customer.create_enclave,ok,
customer.verified_inference.run_1,ok,
customer.verified_inference.run_1.meta,ok,"{""pred"": 0, ""pox_valid"": true, ""used_image_upload"": false, ""expected_label"": -1}"
metrics.max_before_destroy,ok,
metrics.used_before_destroy,ok,
metrics.remaining_before_destroy,ok,
metrics.ns_benchmark_before_destroy,ok,
metrics.secure_benchmark_before_destroy,ok,
customer.destroy_enclave,ok,
metrics.ns_benchmark_after_destroy,ok,
metrics.secure_benchmark_after_destroy,ok,
metrics.max_after_destroy,ok,
metrics.used_after_destroy,ok,
metrics.remaining_after_destroy,ok,
metrics.ns_benchmark.all,ok,"{""total_inference_min_cycles"":51030548,""flash_total_bytes"":262144,""enclave_info_validation_failures"":0,""late_layers_sum_cycles"":7886066,""enclave_create_count"":2,""early_layers_max_cycles"":42502610,""total_inference_count"":1,""early_layers_cycles"":42502610,""ram_total_bytes"":131072,""authorize_cycles"":219182098194366464,""destroy_atomic_max_cycles"":0,""destroy_atomic_min_cycles"":0,""late_layers_max_cycles"":7886066,""enclave_destroy_cycles"":0,""full_execute_sum_cycles"":127478242,""enclave_create_sum_cycles"":20828501,""irq_atomic_count"":0,""late_layers_count"":1,""flash_used_bytes"":143744,""ram_used_bytes"":125103,""enclave_destroy_min_cycles"":0,""run_enclave_sum_cycles"":51031856,""enclave_destroy_sum_cycles"":0,""total_inference_cycles"":51030548,""create_atomic_max_cycles"":7856396,""early_layers_count"":1,""heap_used_bytes"":0,""enclave_create_min_cycles"":10399324,""aes_decrypt_min_cycles"":8437559,""early_layers_sum_cycles"":42502610,""create_atomic_count"":1,""stack_used_bytes"":1536,""late_layers_min_cycles"":7886066,""irq_atomic_max_cycles"":0,""destroy_atomic_count"":0,""create_atomic_sum_cycles"":10399950,""dangerous_inference_no_sau_count"":0,""inference_requests_total"":1,""run_inference_with_image_min_cycles"":0,""run_enclave_count"":1,""dangerous_read_ram_count"":0,""create_atomic_min_cycles"":0,""aes_decrypt_sum_cycles"":8437559,""enclave_create_max_cycles"":10429177,""total_inference_sum_cycles"":51030548,""irq_atomic_sum_cycles"":0,""irq_atomic_min_cycles"":0,""enclave_recreations"":1,""authorize_count"":0,""destroy_atomic_sum_cycles"":0,""total_inference_max_cycles"":51030548,""inference_count"":0,""run_inference_with_image_sum_cycles"":0,""dangerous_read_rom_count"":0,""run_inference_with_image_cycles"":0,""full_execute_max_cycles"":127478242,""enclave_destroy_max_cycles"":0,""aes_decrypt_max_cycles"":8437559,""aes_decrypt_cycles"":8437559,""late_layers_cycles"":7886066,""run_enclave_max_cycles"":51031856,""enclave_create_cycles"":10429177,""aes_decrypt_count"":1,""run_enclave_cycles"":51031856,""run_enclave_min_cycles"":51031856,""early_layers_min_cycles"":42502610,""full_execute_count"":1,""full_execute_min_cycles"":127478242,""enclave_destroy_count"":0,""run_inference_with_image_max_cycles"":0,""run_inference_with_image_count"":0,""full_execute_cycles"":127478242,""heap_free_bytes"":0}"
metrics.secure_benchmark.all,ok,"{""sau_flash_pulse_count"":0,""authorize_verify_message_count"":1,""create_enclave_count"":1,""check_allowed_cycles"":0,""late_hash_count"":0,""flash_total_bytes"":134144,""increment_cycles"":0,""authorize_cycles"":50568938,""authorize_update_cycles"":290,""ram_total_bytes"":65536,""sau_sync_close_cycles"":12271,""authorize_verify_sig_count"":0,""authorize_import_key_cycles"":41119,""destroy_enclave_count"":0,""sau_flash_pulse_cycles"":0,""create_validate_cycles"":1129104,""flash_used_bytes"":119532,""sau_flash_close_cycles"":0,""ram_used_bytes"":52732,""digest_compute_cycles"":0,""reset_cycles"":0,""inf_start_cycles"":50449777,""get_max_cycles"":520,""authorize_verify_sig_cycles"":50501941,""inf_start_count"":1,""sau_flash_open_count"":0,""digest_count"":0,""finalize_create_count"":1,""finalize_create_cycles"":6216,""sau_sync_open_count"":2,""create_recompute_cycles"":1125621,""sau_sync_open_cycles"":6144,""inf_phase0_hash_cycles"":16199,""sau_flash_close_count"":0,""authorize_verify_old_cycles"":0,""authorize_parse_cycles"":12802,""late_hash_cycles"":0,""authorize_verify_cycles"":50545196,""authorize_verify_message_cycles"":50501941,""inf_complete_cycles"":25326700,""authorize_crypto_init_cycles"":108,""inf_complete_count"":1,""global_crypto_init_cycles"":0,""authorize_count"":1,""authorize_crypto_init_count"":1,""sau_flash_open_cycles"":0,""counter_operations"":4,""destroy_enclave_cycles"":0,""authorize_read_cycles"":2447,""sau_sync_close_count"":2,""create_recompute_count"":1,""create_enclave_cycles"":8421046,""aes_decrypt_cycles"":7277256,""authorize_destroy_key_cycles"":0,""aes_decrypt_count"":1,""authorize_hash_msg_cycles"":0,""authorize_import_key_count"":1}"
