action,status,detail
provider.enclave_info,ok,
provider.m_update,ok,
customer.create_enclave,ok,
customer.verified_inference.run_1,ok,
customer.verified_inference.run_1.meta,ok,"{""pred"": 0, ""pox_valid"": true, ""used_image_upload"": false, ""expected_label"": -1}"
metrics.max_before_destroy,ok,
metrics.used_before_destroy,ok,
metrics.remaining_before_destroy,ok,
metrics.ns_benchmark_before_destroy,ok,
metrics.secure_benchmark_before_destroy,ok,
customer.destroy_enclave,ok,
metrics.ns_benchmark_after_destroy,ok,
metrics.secure_benchmark_after_destroy,ok,
metrics.max_after_destroy,ok,
metrics.used_after_destroy,ok,
metrics.remaining_after_destroy,ok,
metrics.ns_benchmark.all,ok,"{""full_execute_max_cycles"":127417190,""total_inference_count"":1,""enclave_destroy_min_cycles"":0,""late_layers_cycles"":7884844,""heap_free_bytes"":0,""total_inference_sum_cycles"":51031739,""enclave_create_sum_cycles"":20828366,""create_atomic_max_cycles"":10399884,""inference_requests_total"":1,""enclave_destroy_count"":0,""irq_atomic_sum_cycles"":0,""run_inference_with_image_cycles"":0,""full_execute_cycles"":127417190,""enclave_info_validation_failures"":0,""enclave_create_cycles"":10429108,""destroy_atomic_min_cycles"":0,""full_execute_min_cycles"":127417190,""create_atomic_min_cycles"":10399884,""dangerous_read_ram_count"":0,""inference_count"":0,""early_layers_cycles"":42505023,""early_layers_count"":1,""total_inference_max_cycles"":51031739,""aes_decrypt_min_cycles"":8437315,""ram_total_bytes"":131072,""full_execute_count"":1,""destroy_atomic_max_cycles"":0,""create_atomic_count"":1,""stack_used_bytes"":1536,""flash_used_bytes"":143744,""enclave_create_max_cycles"":10429108,""run_inference_with_image_sum_cycles"":0,""enclave_destroy_max_cycles"":0,""dangerous_inference_no_sau_count"":0,""late_layers_min_cycles"":7884844,""run_inference_with_image_max_cycles"":0,""authorize_count"":0,""run_inference_with_image_count"":0,""late_layers_count"":1,""total_inference_min_cycles"":51031739,""create_atomic_sum_cycles"":10399884,""early_layers_min_cycles"":42505023,""destroy_atomic_count"":0,""enclave_create_min_cycles"":10399258,""run_enclave_cycles"":51033047,""late_layers_max_cycles"":7884844,""aes_decrypt_sum_cycles"":8437315,""aes_decrypt_max_cycles"":8437315,""authorize_cycles"":219187213500416000,""enclave_destroy_sum_cycles"":0,""full_execute_sum_cycles"":127417190,""aes_decrypt_count"":1,""run_enclave_count"":1,""destroy_atomic_sum_cycles"":0,""irq_atomic_max_cycles"":0,""late_layers_sum_cycles"":7884844,""heap_used_bytes"":0,""early_layers_max_cycles"":42505023,""run_enclave_max_cycles"":51033047,""total_inference_cycles"":51031739,""dangerous_read_rom_count"":0,""irq_atomic_count"":0,""run_inference_with_image_min_cycles"":0,""flash_total_bytes"":262144,""enclave_recreations"":1,""enclave_destroy_cycles"":0,""run_enclave_sum_cycles"":51033047,""run_enclave_min_cycles"":51033047,""early_layers_sum_cycles"":42505023,""ram_used_bytes"":125103,""irq_atomic_min_cycles"":0,""aes_decrypt_cycles"":8437315,""enclave_create_count"":2}"
metrics.secure_benchmark.all,ok,"{""inf_complete_count"":1,""authorize_verify_message_count"":1,""global_crypto_init_cycles"":0,""inf_complete_cycles"":25349036,""authorize_verify_sig_cycles"":50241640,""late_hash_count"":0,""counter_operations"":4,""inf_start_cycles"":50365418,""authorize_import_key_cycles"":37750,""late_hash_cycles"":0,""authorize_import_key_count"":1,""authorize_update_cycles"":290,""authorize_destroy_key_cycles"":0,""sau_sync_close_cycles"":12319,""create_recompute_cycles"":1125971,""sau_flash_pulse_cycles"":0,""authorize_crypto_init_count"":1,""inf_start_count"":1,""sau_flash_pulse_count"":0,""authorize_verify_message_cycles"":50241640,""authorize_read_cycles"":2447,""finalize_create_cycles"":6264,""ram_total_bytes"":65536,""sau_flash_close_count"":0,""sau_flash_open_cycles"":0,""inf_phase0_hash_cycles"":16199,""flash_used_bytes"":119532,""sau_sync_open_count"":2,""sau_sync_open_cycles"":6144,""authorize_hash_msg_cycles"":0,""digest_count"":0,""authorize_count"":1,""destroy_enclave_count"":0,""authorize_crypto_init_cycles"":108,""authorize_verify_old_cycles"":0,""sau_flash_open_count"":0,""destroy_enclave_cycles"":0,""check_allowed_cycles"":0,""authorize_verify_cycles"":50281526,""get_max_cycles"":520,""create_validate_cycles"":1129454,""create_enclave_cycles"":8420802,""sau_sync_close_count"":2,""authorize_cycles"":50305268,""authorize_verify_sig_count"":0,""aes_decrypt_count"":1,""digest_compute_cycles"":0,""sau_flash_close_cycles"":0,""increment_cycles"":0,""create_recompute_count"":1,""reset_cycles"":0,""flash_total_bytes"":134144,""authorize_parse_cycles"":12802,""finalize_create_count"":1,""ram_used_bytes"":52732,""create_enclave_count"":1,""aes_decrypt_cycles"":7274730}"
