action,status,detail
provider.enclave_info,ok,
provider.m_update,ok,
customer.create_enclave,ok,
customer.verified_inference.run_1,ok,
customer.verified_inference.run_1.meta,ok,"{""pred"": 0, ""pox_valid"": true, ""used_image_upload"": false, ""expected_label"": -1}"
metrics.max_before_destroy,ok,
metrics.used_before_destroy,ok,
metrics.remaining_before_destroy,ok,
metrics.ns_benchmark_before_destroy,ok,
metrics.secure_benchmark_before_destroy,ok,
customer.destroy_enclave,ok,
metrics.ns_benchmark_after_destroy,ok,
metrics.secure_benchmark_after_destroy,ok,
metrics.max_after_destroy,ok,
metrics.used_after_destroy,ok,
metrics.remaining_after_destroy,ok,
metrics.ns_benchmark.all,ok,"{""aes_decrypt_count"":1,""run_inference_with_image_count"":0,""run_enclave_sum_cycles"":51034343,""run_inference_with_image_cycles"":0,""aes_decrypt_cycles"":8435146,""early_layers_count"":1,""early_layers_min_cycles"":42502867,""ram_total_bytes"":131072,""destroy_atomic_sum_cycles"":0,""stack_used_bytes"":1536,""flash_total_bytes"":262144,""dangerous_inference_no_sau_count"":0,""late_layers_max_cycles"":7886041,""run_enclave_max_cycles"":51034343,""run_inference_with_image_sum_cycles"":0,""enclave_destroy_min_cycles"":0,""enclave_destroy_max_cycles"":0,""run_enclave_count"":1,""total_inference_count"":1,""irq_atomic_sum_cycles"":0,""heap_free_bytes"":0,""enclave_create_cycles"":10429138,""full_execute_cycles"":127499600,""enclave_destroy_sum_cycles"":0,""irq_atomic_min_cycles"":0,""aes_decrypt_max_cycles"":8435146,""total_inference_max_cycles"":51033035,""total_inference_cycles"":51033035,""irq_atomic_count"":0,""aes_decrypt_sum_cycles"":8435146,""create_atomic_max_cycles"":10399914,""dangerous_read_ram_count"":0,""destroy_atomic_min_cycles"":0,""late_layers_count"":1,""enclave_recreations"":1,""late_layers_cycles"":7886041,""enclave_create_sum_cycles"":20828426,""early_layers_sum_cycles"":42502867,""full_execute_sum_cycles"":127499600,""create_atomic_count"":1,""ram_used_bytes"":125103,""total_inference_sum_cycles"":51033035,""total_inference_min_cycles"":51033035,""run_inference_with_image_max_cycles"":0,""full_execute_max_cycles"":127499600,""irq_atomic_max_cycles"":0,""run_inference_with_image_min_cycles"":0,""enclave_destroy_cycles"":0,""early_layers_cycles"":42502867,""inference_count"":0,""late_layers_sum_cycles"":7886041,""heap_used_bytes"":0,""enclave_destroy_count"":0,""full_execute_min_cycles"":127499600,""create_atomic_min_cycles"":10399914,""flash_used_bytes"":143744,""full_execute_count"":1,""run_enclave_cycles"":51034343,""late_layers_min_cycles"":7886041,""destroy_atomic_max_cycles"":0,""dangerous_read_rom_count"":0,""inference_requests_total"":1,""enclave_info_validation_failures"":0,""authorize_cycles"":219192779778031616,""enclave_create_max_cycles"":10429138,""create_atomic_sum_cycles"":10399914,""enclave_create_min_cycles"":10399288,""aes_decrypt_min_cycles"":8435146,""run_enclave_min_cycles"":51034343,""early_layers_max_cycles"":42502867,""authorize_count"":0,""destroy_atomic_count"":0,""enclave_create_count"":2}"
metrics.secure_benchmark.all,ok,"{""sau_sync_close_cycles"":12319,""aes_decrypt_count"":1,""reset_cycles"":0,""sau_flash_close_count"":0,""aes_decrypt_cycles"":7274773,""authorize_verify_old_cycles"":0,""authorize_verify_sig_count"":0,""sau_sync_open_count"":2,""authorize_verify_sig_cycles"":50268576,""create_recompute_cycles"":1125621,""ram_total_bytes"":65536,""flash_total_bytes"":134144,""finalize_create_count"":1,""destroy_enclave_count"":0,""finalize_create_cycles"":6264,""authorize_read_cycles"":2447,""authorize_update_cycles"":290,""increment_cycles"":0,""inf_complete_cycles"":25348026,""create_enclave_count"":1,""create_validate_cycles"":1129104,""sau_flash_pulse_count"":0,""authorize_parse_cycles"":12802,""inf_complete_count"":1,""authorize_import_key_cycles"":37147,""digest_count"":0,""sau_flash_pulse_cycles"":0,""authorize_crypto_init_count"":1,""authorize_destroy_key_cycles"":0,""late_hash_count"":0,""ram_used_bytes"":52732,""create_enclave_cycles"":8418563,""destroy_enclave_cycles"":0,""digest_compute_cycles"":0,""authorize_crypto_init_cycles"":108,""authorize_import_key_count"":1,""authorize_verify_message_count"":1,""inf_start_count"":1,""flash_used_bytes"":119532,""sau_flash_open_cycles"":0,""inf_start_cycles"":50447484,""counter_operations"":4,""global_crypto_init_cycles"":0,""sau_sync_close_count"":2,""get_max_cycles"":520,""late_hash_cycles"":0,""authorize_cycles"":50331601,""create_recompute_count"":1,""sau_flash_open_count"":0,""inf_phase0_hash_cycles"":18291,""check_allowed_cycles"":0,""authorize_verify_message_cycles"":50268576,""sau_sync_open_cycles"":6144,""authorize_hash_msg_cycles"":0,""authorize_count"":1,""sau_flash_close_cycles"":0,""authorize_verify_cycles"":50307859}"
